latitude,longitude,elevation,time
30.10697,118.16765,821.75,2009-12-31 23:00:00+00:00
30.10701,118.16763,822.1,2009-12-31 23:00:01+00:00
30.10706,118.16761,822.65,2009-12-31 23:00:03+00:00
30.1071,118.16758,823.28,2009-12-31 23:00:05+00:00
30.10713,118.16755,823.92,2009-12-31 23:00:07+00:00
30.10717,118.16751,824.95,2009-12-31 23:00:09+00:00
30.1072,118.16748,825.55,2009-12-31 23:00:11+00:00
30.10723,118.16743,825.76,2009-12-31 23:00:13+00:00
30.10726,118.16739,825.79,2009-12-31 23:00:15+00:00
30.10731,118.16738,826.07,2009-12-31 23:00:17+00:00
30.10735,118.16736,826.43,2009-12-31 23:00:18+00:00
30.10739,118.16735,826.81,2009-12-31 23:00:20+00:00
30.10744,118.16736,827.08,2009-12-31 23:00:22+00:00
30.10749,118.16736,827.45,2009-12-31 23:00:24+00:00
30.10753,118.16737,828.28,2009-12-31 23:00:26+00:00
30.10758,118.16739,829.64,2009-12-31 23:00:28+00:00
30.10761,118.16743,830.31,2009-12-31 23:00:30+00:00
30.10764,118.16747,831.21,2009-12-31 23:00:31+00:00
30.10766,118.16751,832.12,2009-12-31 23:00:33+00:00
30.10768,118.16756,833.94,2009-12-31 23:00:35+00:00
30.1077,118.16762,835.85,2009-12-31 23:00:37+00:00
30.10771,118.16767,837.12,2009-12-31 23:00:39+00:00
30.10772,118.16772,838.33,2009-12-31 23:00:41+00:00
30.10774,118.16778,839.97,2009-12-31 23:00:43+00:00
30.10776,118.16783,841.78,2009-12-31 23:00:45+00:00
30.1078,118.16782,842.4,2009-12-31 23:00:46+00:00
30.10784,118.16779,842.38,2009-12-31 23:00:48+00:00
30.10787,118.16775,842.29,2009-12-31 23:00:50+00:00
30.10791,118.16772,842.65,2009-12-31 23:00:52+00:00
30.10794,118.16768,842.72,2009-12-31 23:00:54+00:00
30.10798,118.16766,843.25,2009-12-31 23:00:56+00:00
30.10803,118.16767,844.34,2009-12-31 23:00:58+00:00
30.10807,118.16769,845.05,2009-12-31 23:00:59+00:00
30.10812,118.1677,845.12,2009-12-31 23:01:01+00:00
30.10816,118.1677,845.1,2009-12-31 23:01:03+00:00
30.1082,118.16767,844.92,2009-12-31 23:01:05+00:00
30.10825,118.16765,844.89,2009-12-31 23:01:07+00:00
30.10829,118.16767,844.97,2009-12-31 23:01:09+00:00
30.10834,118.16769,845.18,2009-12-31 23:01:11+00:00
30.10837,118.16772,846.03,2009-12-31 23:01:13+00:00
