latitude,longitude,elevation,time
30.13824,118.16343,1744.58,2009-12-31 23:00:00+00:00
30.13815,118.16347,1745.43,2009-12-31 23:00:03+00:00
30.13809,118.16351,1746.53,2009-12-31 23:00:06+00:00
30.13795,118.16359,1747.02,2009-12-31 23:00:12+00:00
30.13772,118.16374,1748.43,2009-12-31 23:00:23+00:00
30.1375,118.16387,1749.25,2009-12-31 23:00:33+00:00
30.13742,118.16395,1754.29,2009-12-31 23:00:37+00:00
30.13735,118.16404,1759.1,2009-12-31 23:00:41+00:00
30.13731,118.16406,1760.06,2009-12-31 23:00:43+00:00
30.13725,118.16408,1760.89,2009-12-31 23:00:46+00:00
30.13721,118.16406,1760.11,2009-12-31 23:00:47+00:00
30.13714,118.16403,1758.78,2009-12-31 23:00:50+00:00
30.13704,118.16399,1757.16,2009-12-31 23:00:54+00:00
30.13699,118.16401,1757.63,2009-12-31 23:00:57+00:00
30.13685,118.16402,1758.42,2009-12-31 23:01:02+00:00
30.13677,118.16401,1758.58,2009-12-31 23:01:05+00:00
30.13668,118.16396,1757.02,2009-12-31 23:01:09+00:00
30.13654,118.16389,1756.78,2009-12-31 23:01:16+00:00
30.13638,118.16372,1757.93,2009-12-31 23:01:24+00:00
30.13629,118.16367,1760.84,2009-12-31 23:01:28+00:00
30.1362,118.16363,1763.8,2009-12-31 23:01:32+00:00
30.13608,118.16364,1768.54,2009-12-31 23:01:37+00:00
30.13594,118.16369,1774.14,2009-12-31 23:01:43+00:00
30.13579,118.16377,1780.37,2009-12-31 23:01:49+00:00
30.13567,118.16379,1783.39,2009-12-31 23:01:54+00:00
30.13565,118.1638,1784.04,2009-12-31 23:01:55+00:00
30.13563,118.16382,1784.9,2009-12-31 23:01:56+00:00
30.13561,118.16385,1785.98,2009-12-31 23:01:57+00:00
30.13558,118.16389,1787.49,2009-12-31 23:01:59+00:00
30.13555,118.16393,1788.87,2009-12-31 23:02:01+00:00
30.13553,118.16393,1789.32,2009-12-31 23:02:02+00:00
30.1355,118.16389,1789.42,2009-12-31 23:02:04+00:00
30.13548,118.16386,1789.28,2009-12-31 23:02:05+00:00
30.13546,118.16382,1788.92,2009-12-31 23:02:07+00:00
30.13541,118.16375,1788.67,2009-12-31 23:02:10+00:00
30.13539,118.16372,1788.52,2009-12-31 23:02:11+00:00
30.13537,118.1637,1788.6,2009-12-31 23:02:12+00:00
30.13533,118.16369,1789.39,2009-12-31 23:02:14+00:00
30.13528,118.16367,1790.22,2009-12-31 23:02:16+00:00
30.13522,118.16367,1794.22,2009-12-31 23:02:18+00:00
30.13514,118.16363,1798.83,2009-12-31 23:02:22+00:00
30.135,118.16354,1807.23,2009-12-31 23:02:28+00:00
30.13473,118.1634,1817.46,2009-12-31 23:02:40+00:00
30.13453,118.16331,1816.74,2009-12-31 23:02:49+00:00
30.13453,118.16331,1816.74,2009-12-31 23:03:41+00:00
30.13448,118.16348,1815.13,2009-12-31 23:02:55+00:00
30.13448,118.16348,1815.13,2009-12-31 23:03:35+00:00
30.13445,118.16365,1814.01,2009-12-31 23:03:01+00:00
30.13445,118.16365,1814.01,2009-12-31 23:03:29+00:00
30.13441,118.16378,1813.34,2009-12-31 23:03:06+00:00
30.13441,118.16378,1813.34,2009-12-31 23:03:24+00:00
30.13435,118.16387,1812.84,2009-12-31 23:03:10+00:00
30.13435,118.16387,1812.84,2009-12-31 23:03:20+00:00
30.13432,118.16393,1812.29,2009-12-31 23:03:12+00:00
30.13432,118.16393,1812.29,2009-12-31 23:03:18+00:00
30.1343,118.16401,1811.34,2009-12-31 23:03:15+00:00
30.13432,118.16393,1812.29,2009-12-31 23:03:12+00:00
30.13432,118.16393,1812.29,2009-12-31 23:03:18+00:00
30.13435,118.16387,1812.84,2009-12-31 23:03:10+00:00
30.13435,118.16387,1812.84,2009-12-31 23:03:20+00:00
30.13441,118.16378,1813.34,2009-12-31 23:03:06+00:00
30.13441,118.16378,1813.34,2009-12-31 23:03:24+00:00
30.13445,118.16365,1814.01,2009-12-31 23:03:01+00:00
30.13445,118.16365,1814.01,2009-12-31 23:03:29+00:00
30.13448,118.16348,1815.13,2009-12-31 23:02:55+00:00
30.13448,118.16348,1815.13,2009-12-31 23:03:35+00:00
30.13453,118.16331,1816.74,2009-12-31 23:02:49+00:00
30.13453,118.16331,1816.74,2009-12-31 23:03:41+00:00
30.13448,118.16321,1815.71,2009-12-31 23:03:45+00:00
30.13443,118.16328,1815.4,2009-12-31 23:03:48+00:00
30.13441,118.16334,1814.96,2009-12-31 23:03:51+00:00
30.13435,118.16338,1812.89,2009-12-31 23:03:53+00:00
30.1342,118.16356,1806.61,2009-12-31 23:04:02+00:00
30.13413,118.16361,1803.3,2009-12-31 23:04:05+00:00
30.13405,118.16372,1802.88,2009-12-31 23:04:10+00:00
30.13398,118.16387,1805.61,2009-12-31 23:04:16+00:00
30.13377,118.16413,1802.32,2009-12-31 23:04:28+00:00
30.13361,118.1642,1795.72,2009-12-31 23:04:35+00:00
30.13353,118.16422,1789.4,2009-12-31 23:04:39+00:00
30.13346,118.1642,1784.9,2009-12-31 23:04:41+00:00
30.13337,118.16411,1778.34,2009-12-31 23:04:46+00:00
30.13322,118.16392,1767.74,2009-12-31 23:04:55+00:00
30.133,118.16375,1756.0,2009-12-31 23:05:06+00:00
30.13282,118.16362,1751.07,2009-12-31 23:05:14+00:00
30.13273,118.1636,1748.06,2009-12-31 23:05:18+00:00
30.13243,118.16333,1740.95,2009-12-31 23:05:33+00:00
30.13242,118.16326,1740.02,2009-12-31 23:05:36+00:00
30.13237,118.16326,1739.44,2009-12-31 23:05:38+00:00
30.13232,118.16323,1738.64,2009-12-31 23:05:40+00:00
30.13224,118.16314,1737.43,2009-12-31 23:05:44+00:00
30.13216,118.16304,1736.56,2009-12-31 23:05:49+00:00
30.13213,118.16293,1735.01,2009-12-31 23:05:53+00:00
30.13208,118.16284,1733.78,2009-12-31 23:05:57+00:00
30.13201,118.16276,1733.02,2009-12-31 23:06:01+00:00
