latitude,longitude,elevation,time
30.14213,118.15358,1577.02,2009-12-31 23:00:00+00:00
30.1421,118.15344,1585.56,2009-12-31 23:00:04+00:00
30.14214,118.15329,1600.15,2009-12-31 23:00:10+00:00
30.14214,118.15303,1604.89,2009-12-31 23:00:19+00:00
30.14217,118.15288,1608.62,2009-12-31 23:00:24+00:00
30.1421,118.15281,1596.83,2009-12-31 23:00:28+00:00
30.14201,118.15286,1582.59,2009-12-31 23:00:32+00:00
30.14196,118.15292,1574.55,2009-12-31 23:00:35+00:00
30.14188,118.15292,1568.38,2009-12-31 23:00:38+00:00
30.1419,118.15275,1571.2,2009-12-31 23:00:44+00:00
30.14185,118.15255,1575.51,2009-12-31 23:00:51+00:00
30.14182,118.15246,1575.57,2009-12-31 23:00:55+00:00
30.14189,118.15246,1581.44,2009-12-31 23:00:57+00:00
30.14198,118.15245,1588.1,2009-12-31 23:01:01+00:00
30.14201,118.15238,1590.88,2009-12-31 23:01:04+00:00
30.14203,118.15221,1593.83,2009-12-31 23:01:10+00:00
30.14209,118.15211,1593.09,2009-12-31 23:01:14+00:00
30.14208,118.15204,1591.11,2009-12-31 23:01:16+00:00
30.14204,118.152,1588.58,2009-12-31 23:01:18+00:00
30.14195,118.15195,1583.42,2009-12-31 23:01:22+00:00
30.14189,118.15191,1578.1,2009-12-31 23:01:25+00:00
30.14187,118.15184,1573.89,2009-12-31 23:01:28+00:00
30.14189,118.15174,1570.37,2009-12-31 23:01:31+00:00
30.14191,118.15163,1566.46,2009-12-31 23:01:35+00:00
30.14199,118.15153,1566.56,2009-12-31 23:01:40+00:00
30.14203,118.15149,1565.93,2009-12-31 23:01:42+00:00
30.14205,118.15142,1562.66,2009-12-31 23:01:45+00:00
30.14201,118.15131,1555.39,2009-12-31 23:01:49+00:00
30.14204,118.1512,1547.63,2009-12-31 23:01:53+00:00
30.14198,118.15105,1539.61,2009-12-31 23:01:58+00:00
30.14192,118.15093,1537.17,2009-12-31 23:02:03+00:00
30.14189,118.15081,1535.24,2009-12-31 23:02:07+00:00
30.14183,118.15078,1535.72,2009-12-31 23:02:10+00:00
30.14177,118.1508,1536.35,2009-12-31 23:02:13+00:00
30.14172,118.15082,1536.7,2009-12-31 23:02:15+00:00
30.14166,118.15079,1537.4,2009-12-31 23:02:17+00:00
30.14162,118.15073,1537.41,2009-12-31 23:02:20+00:00
30.14157,118.15067,1536.84,2009-12-31 23:02:23+00:00
30.14154,118.15067,1536.24,2009-12-31 23:02:24+00:00
30.14153,118.1507,1536.04,2009-12-31 23:02:25+00:00
30.14157,118.15078,1536.48,2009-12-31 23:02:28+00:00
30.14162,118.15092,1537.55,2009-12-31 23:02:34+00:00
30.14162,118.15098,1538.16,2009-12-31 23:02:36+00:00
30.14158,118.15106,1538.57,2009-12-31 23:02:39+00:00
30.14149,118.15111,1538.08,2009-12-31 23:02:43+00:00
30.14146,118.15117,1537.24,2009-12-31 23:02:45+00:00
30.14143,118.15123,1536.46,2009-12-31 23:02:48+00:00
30.14145,118.15134,1535.65,2009-12-31 23:02:52+00:00
30.14139,118.15137,1535.14,2009-12-31 23:02:54+00:00
30.14133,118.15136,1522.58,2009-12-31 23:02:57+00:00
30.14131,118.15142,1517.35,2009-12-31 23:02:59+00:00
30.14132,118.15153,1518.21,2009-12-31 23:03:03+00:00
30.14133,118.15164,1518.75,2009-12-31 23:03:07+00:00
30.14132,118.15173,1516.94,2009-12-31 23:03:10+00:00
30.1413,118.15206,1516.76,2009-12-31 23:03:21+00:00
30.1413,118.15221,1518.79,2009-12-31 23:03:26+00:00
30.14125,118.15231,1509.08,2009-12-31 23:03:30+00:00
30.14117,118.15239,1490.94,2009-12-31 23:03:35+00:00
30.14114,118.15249,1480.3,2009-12-31 23:03:38+00:00
30.14114,118.1526,1477.78,2009-12-31 23:03:42+00:00
30.14116,118.15269,1480.75,2009-12-31 23:03:45+00:00
30.14111,118.15276,1467.24,2009-12-31 23:03:48+00:00
30.141,118.15276,1452.88,2009-12-31 23:03:53+00:00
30.14095,118.15282,1447.2,2009-12-31 23:03:56+00:00
30.14094,118.1529,1447.87,2009-12-31 23:03:58+00:00
30.1409,118.15295,1443.48,2009-12-31 23:04:01+00:00
30.14087,118.15292,1438.65,2009-12-31 23:04:02+00:00
30.14087,118.15285,1437.22,2009-12-31 23:04:05+00:00
30.14079,118.15283,1431.3,2009-12-31 23:04:08+00:00
30.14077,118.15278,1430.35,2009-12-31 23:04:10+00:00
30.14074,118.15273,1429.87,2009-12-31 23:04:12+00:00
30.1407,118.15264,1428.65,2009-12-31 23:04:16+00:00
30.14065,118.15258,1426.68,2009-12-31 23:04:18+00:00
30.1406,118.15254,1424.44,2009-12-31 23:04:21+00:00
30.14056,118.15254,1423.02,2009-12-31 23:04:23+00:00
30.14052,118.15262,1421.55,2009-12-31 23:04:26+00:00
30.14052,118.15268,1422.74,2009-12-31 23:04:28+00:00
30.14054,118.15274,1425.76,2009-12-31 23:04:30+00:00
30.14056,118.15281,1427.94,2009-12-31 23:04:33+00:00
30.1406,118.15284,1428.47,2009-12-31 23:04:34+00:00
30.14069,118.1528,1429.6,2009-12-31 23:04:38+00:00
30.14072,118.15282,1430.16,2009-12-31 23:04:40+00:00
30.14071,118.15284,1430.19,2009-12-31 23:04:41+00:00
30.14062,118.15295,1428.94,2009-12-31 23:04:46+00:00
30.14056,118.15303,1427.23,2009-12-31 23:04:49+00:00
30.14052,118.1531,1420.21,2009-12-31 23:04:52+00:00
30.14047,118.15309,1413.55,2009-12-31 23:04:54+00:00
30.14039,118.15304,1404.25,2009-12-31 23:04:58+00:00
30.14028,118.15294,1394.09,2009-12-31 23:05:04+00:00
30.14017,118.15282,1383.81,2009-12-31 23:05:10+00:00
30.14005,118.15283,1365.54,2009-12-31 23:05:14+00:00
30.13991,118.15284,1352.44,2009-12-31 23:05:20+00:00
30.13967,118.15293,1338.54,2009-12-31 23:05:30+00:00
30.13963,118.15295,1336.87,2009-12-31 23:05:32+00:00
30.13959,118.15293,1335.77,2009-12-31 23:05:34+00:00
30.13959,118.15288,1336.56,2009-12-31 23:05:35+00:00
30.13961,118.15284,1337.82,2009-12-31 23:05:37+00:00
30.13968,118.15274,1341.57,2009-12-31 23:05:41+00:00
30.13957,118.15273,1338.95,2009-12-31 23:05:46+00:00
30.13931,118.15271,1331.51,2009-12-31 23:05:56+00:00
30.13921,118.15273,1327.66,2009-12-31 23:06:00+00:00
30.13913,118.15295,1328.6,2009-12-31 23:06:09+00:00
30.13903,118.15322,1331.85,2009-12-31 23:06:19+00:00
30.13898,118.15344,1339.87,2009-12-31 23:06:27+00:00
30.13892,118.15349,1343.77,2009-12-31 23:06:30+00:00
30.13879,118.15334,1337.37,2009-12-31 23:06:37+00:00
30.13881,118.15308,1330.07,2009-12-31 23:06:46+00:00
30.13876,118.15305,1330.17,2009-12-31 23:06:48+00:00
30.13862,118.1531,1333.81,2009-12-31 23:06:54+00:00
30.13849,118.15307,1336.82,2009-12-31 23:06:59+00:00
30.13841,118.15307,1339.14,2009-12-31 23:07:03+00:00
30.1384,118.15299,1335.94,2009-12-31 23:07:05+00:00
30.13848,118.15291,1330.85,2009-12-31 23:07:10+00:00
30.13856,118.15279,1325.59,2009-12-31 23:07:15+00:00
30.1387,118.15275,1323.37,2009-12-31 23:07:21+00:00
30.1388,118.15262,1322.55,2009-12-31 23:07:27+00:00
30.13891,118.15253,1324.74,2009-12-31 23:07:32+00:00
30.13891,118.15242,1325.06,2009-12-31 23:07:36+00:00
30.13883,118.1524,1323.23,2009-12-31 23:07:39+00:00
30.13878,118.1523,1321.82,2009-12-31 23:07:43+00:00
30.13874,118.15229,1320.9,2009-12-31 23:07:45+00:00
30.13853,118.15224,1316.12,2009-12-31 23:07:53+00:00
