latitude,longitude,elevation,time
30.13824,118.16343,1744.58,2009-12-31 23:00:00+00:00
30.13824,118.16343,1744.58,2009-12-31 23:19:05+00:00
30.13815,118.16347,1745.43,2009-12-31 23:00:03+00:00
30.13809,118.16351,1746.53,2009-12-31 23:00:06+00:00
30.13795,118.16359,1747.02,2009-12-31 23:00:12+00:00
30.13772,118.16374,1748.43,2009-12-31 23:00:23+00:00
30.1375,118.16387,1749.25,2009-12-31 23:00:33+00:00
30.13742,118.16395,1754.29,2009-12-31 23:00:37+00:00
30.13735,118.16404,1759.1,2009-12-31 23:00:41+00:00
30.13731,118.16406,1760.06,2009-12-31 23:00:43+00:00
30.13725,118.16408,1760.89,2009-12-31 23:00:46+00:00
30.13721,118.16406,1760.11,2009-12-31 23:00:47+00:00
30.13714,118.16403,1758.78,2009-12-31 23:00:50+00:00
30.13704,118.16399,1757.16,2009-12-31 23:00:54+00:00
30.13699,118.16401,1757.63,2009-12-31 23:00:57+00:00
30.13685,118.16402,1758.42,2009-12-31 23:01:02+00:00
30.13677,118.16401,1758.58,2009-12-31 23:01:05+00:00
30.13668,118.16396,1757.02,2009-12-31 23:01:09+00:00
30.13654,118.16389,1756.78,2009-12-31 23:01:16+00:00
30.13638,118.16372,1757.93,2009-12-31 23:01:24+00:00
30.13629,118.16367,1760.84,2009-12-31 23:01:28+00:00
30.1362,118.16363,1763.8,2009-12-31 23:01:32+00:00
30.13608,118.16364,1768.54,2009-12-31 23:01:37+00:00
30.13594,118.16369,1774.14,2009-12-31 23:01:43+00:00
30.13579,118.16377,1780.37,2009-12-31 23:01:49+00:00
30.13567,118.16379,1783.39,2009-12-31 23:01:54+00:00
30.13565,118.1638,1784.04,2009-12-31 23:01:55+00:00
30.13563,118.16382,1784.9,2009-12-31 23:01:56+00:00
30.13561,118.16385,1785.98,2009-12-31 23:01:57+00:00
30.13558,118.16389,1787.49,2009-12-31 23:01:59+00:00
30.13555,118.16393,1788.87,2009-12-31 23:02:01+00:00
30.13553,118.16393,1789.32,2009-12-31 23:02:02+00:00
30.1355,118.16389,1789.42,2009-12-31 23:02:04+00:00
30.13548,118.16386,1789.28,2009-12-31 23:02:05+00:00
30.13546,118.16382,1788.92,2009-12-31 23:02:07+00:00
30.13541,118.16375,1788.67,2009-12-31 23:02:10+00:00
30.13539,118.16372,1788.52,2009-12-31 23:02:11+00:00
30.13537,118.1637,1788.6,2009-12-31 23:02:12+00:00
30.13533,118.16369,1789.39,2009-12-31 23:02:14+00:00
30.13528,118.16367,1790.22,2009-12-31 23:02:16+00:00
30.13522,118.16367,1794.22,2009-12-31 23:02:18+00:00
30.13514,118.16363,1798.83,2009-12-31 23:02:22+00:00
30.135,118.16354,1807.23,2009-12-31 23:02:28+00:00
30.13473,118.1634,1817.46,2009-12-31 23:02:40+00:00
30.13453,118.16331,1816.74,2009-12-31 23:02:49+00:00
30.13448,118.16321,1815.71,2009-12-31 23:02:53+00:00
30.13451,118.16315,1815.42,2009-12-31 23:02:55+00:00
30.13456,118.16301,1813.5,2009-12-31 23:03:00+00:00
30.13479,118.16239,1799.08,2009-12-31 23:03:24+00:00
30.13508,118.16185,1796.61,2009-12-31 23:03:46+00:00
30.13543,118.16122,1801.02,2009-12-31 23:04:12+00:00
30.13559,118.16067,1789.15,2009-12-31 23:04:32+00:00
30.13556,118.16042,1784.02,2009-12-31 23:04:40+00:00
30.13558,118.16011,1778.68,2009-12-31 23:04:51+00:00
30.1357,118.15988,1773.95,2009-12-31 23:05:01+00:00
30.13587,118.15971,1769.68,2009-12-31 23:05:10+00:00
30.136,118.15941,1765.95,2009-12-31 23:05:21+00:00
30.13604,118.15909,1763.06,2009-12-31 23:05:32+00:00
30.13607,118.15879,1761.3,2009-12-31 23:05:43+00:00
30.13612,118.15878,1760.96,2009-12-31 23:05:45+00:00
30.13617,118.15886,1762.97,2009-12-31 23:05:48+00:00
30.13625,118.15897,1762.06,2009-12-31 23:05:53+00:00
30.13634,118.15901,1760.65,2009-12-31 23:05:57+00:00
30.13659,118.15901,1754.21,2009-12-31 23:06:07+00:00
30.13699,118.15921,1731.68,2009-12-31 23:06:25+00:00
30.13714,118.1592,1728.37,2009-12-31 23:06:31+00:00
30.13724,118.15901,1726.09,2009-12-31 23:06:38+00:00
30.13738,118.159,1723.33,2009-12-31 23:06:44+00:00
30.13823,118.15875,1706.92,2009-12-31 23:07:19+00:00
30.1385,118.15878,1702.66,2009-12-31 23:07:30+00:00
30.13867,118.15885,1699.6,2009-12-31 23:07:37+00:00
30.13908,118.15854,1688.15,2009-12-31 23:07:57+00:00
30.13951,118.15894,1669.92,2009-12-31 23:08:19+00:00
30.13973,118.15905,1654.75,2009-12-31 23:08:28+00:00
30.13979,118.15919,1648.34,2009-12-31 23:08:34+00:00
30.14003,118.15905,1635.52,2009-12-31 23:08:45+00:00
30.14044,118.15911,1622.86,2009-12-31 23:09:01+00:00
30.14061,118.15894,1621.74,2009-12-31 23:09:10+00:00
30.14069,118.15869,1622.35,2009-12-31 23:09:19+00:00
30.14064,118.15805,1620.82,2009-12-31 23:09:42+00:00
30.14103,118.15771,1613.91,2009-12-31 23:10:01+00:00
30.14174,118.15732,1594.17,2009-12-31 23:10:33+00:00
30.14211,118.15722,1591.93,2009-12-31 23:10:48+00:00
30.14227,118.15724,1593.72,2009-12-31 23:10:54+00:00
30.1424,118.15727,1593.87,2009-12-31 23:10:59+00:00
30.14234,118.15763,1594.9,2009-12-31 23:11:12+00:00
30.14226,118.15788,1589.36,2009-12-31 23:11:21+00:00
30.14226,118.15822,1586.4,2009-12-31 23:11:33+00:00
30.14222,118.15849,1579.7,2009-12-31 23:11:43+00:00
30.14225,118.15869,1577.14,2009-12-31 23:11:50+00:00
30.14235,118.15894,1574.4,2009-12-31 23:11:59+00:00
30.14255,118.15929,1571.21,2009-12-31 23:12:14+00:00
30.14275,118.15957,1570.39,2009-12-31 23:12:26+00:00
30.14289,118.15991,1570.89,2009-12-31 23:12:39+00:00
30.1432,118.16019,1570.9,2009-12-31 23:12:55+00:00
30.14336,118.16082,1577.15,2009-12-31 23:13:18+00:00
30.14339,118.16136,1592.58,2009-12-31 23:13:37+00:00
30.14353,118.16146,1597.82,2009-12-31 23:13:43+00:00
30.14362,118.16171,1605.94,2009-12-31 23:13:53+00:00
30.14369,118.16204,1612.54,2009-12-31 23:14:04+00:00
30.14373,118.16227,1615.93,2009-12-31 23:14:12+00:00
30.14387,118.16297,1620.42,2009-12-31 23:14:37+00:00
30.14392,118.16339,1620.14,2009-12-31 23:14:52+00:00
30.14377,118.16346,1619.51,2009-12-31 23:14:58+00:00
30.14368,118.16349,1619.51,2009-12-31 23:15:02+00:00
30.1436,118.16357,1621.61,2009-12-31 23:15:06+00:00
30.1436,118.16369,1623.39,2009-12-31 23:15:11+00:00
30.14354,118.16372,1626.7,2009-12-31 23:15:13+00:00
30.14349,118.16374,1629.46,2009-12-31 23:15:15+00:00
30.14341,118.16377,1633.96,2009-12-31 23:15:19+00:00
30.14333,118.16375,1637.63,2009-12-31 23:15:22+00:00
30.14326,118.16367,1638.6,2009-12-31 23:15:26+00:00
30.14306,118.16354,1641.3,2009-12-31 23:15:35+00:00
30.14299,118.16354,1642.81,2009-12-31 23:15:38+00:00
30.14292,118.16356,1644.74,2009-12-31 23:15:41+00:00
30.14286,118.16362,1647.09,2009-12-31 23:15:44+00:00
30.14268,118.16385,1658.25,2009-12-31 23:15:55+00:00
30.14262,118.1639,1661.26,2009-12-31 23:15:58+00:00
30.14254,118.1639,1663.3,2009-12-31 23:16:01+00:00
30.14244,118.16389,1666.41,2009-12-31 23:16:05+00:00
30.14231,118.16383,1669.83,2009-12-31 23:16:10+00:00
30.14223,118.1638,1672.13,2009-12-31 23:16:14+00:00
30.14215,118.1638,1674.95,2009-12-31 23:16:17+00:00
30.14202,118.16387,1681.11,2009-12-31 23:16:23+00:00
30.1419,118.16391,1686.36,2009-12-31 23:16:28+00:00
30.1418,118.16391,1689.96,2009-12-31 23:16:32+00:00
30.14172,118.16398,1695.36,2009-12-31 23:16:36+00:00
30.14139,118.16397,1700.61,2009-12-31 23:16:49+00:00
30.14132,118.16396,1702.84,2009-12-31 23:16:52+00:00
