latitude,longitude,elevation,time
30.14469,118.16564,1591.65,2009-12-31 23:00:00+00:00
30.14469,118.16564,1591.65,2009-12-31 23:15:57+00:00
30.14464,118.16551,1591.7,2009-12-31 23:00:04+00:00
30.14464,118.16551,1591.7,2009-12-31 23:15:52+00:00
30.14464,118.16538,1591.7,2009-12-31 23:00:09+00:00
30.14464,118.16538,1591.7,2009-12-31 23:15:48+00:00
30.1446,118.16532,1591.56,2009-12-31 23:00:12+00:00
30.1446,118.16532,1591.56,2009-12-31 23:15:45+00:00
30.14453,118.16529,1591.31,2009-12-31 23:00:15+00:00
30.14453,118.16529,1591.31,2009-12-31 23:15:42+00:00
30.14449,118.16525,1591.48,2009-12-31 23:00:17+00:00
30.14449,118.16525,1591.48,2009-12-31 23:15:40+00:00
30.14449,118.16518,1592.28,2009-12-31 23:00:19+00:00
30.14449,118.16518,1592.28,2009-12-31 23:15:38+00:00
30.14448,118.1651,1593.28,2009-12-31 23:00:22+00:00
30.14448,118.1651,1593.28,2009-12-31 23:15:35+00:00
30.14423,118.16494,1600.69,2009-12-31 23:00:33+00:00
30.14423,118.16494,1600.69,2009-12-31 23:15:23+00:00
30.1442,118.16489,1601.81,2009-12-31 23:00:35+00:00
30.1442,118.16489,1601.81,2009-12-31 23:15:21+00:00
30.1441,118.1648,1604.99,2009-12-31 23:00:40+00:00
30.1441,118.1648,1604.99,2009-12-31 23:15:16+00:00
30.14401,118.16471,1608.11,2009-12-31 23:00:45+00:00
30.14401,118.16471,1608.11,2009-12-31 23:15:12+00:00
30.14395,118.16455,1612.15,2009-12-31 23:00:51+00:00
30.14395,118.16455,1612.15,2009-12-31 23:15:05+00:00
30.1439,118.16443,1615.66,2009-12-31 23:00:56+00:00
30.1439,118.16443,1615.66,2009-12-31 23:15:01+00:00
30.14386,118.16427,1617.53,2009-12-31 23:01:02+00:00
30.14386,118.16427,1617.53,2009-12-31 23:14:55+00:00
30.14385,118.16416,1618.28,2009-12-31 23:01:05+00:00
30.14385,118.16416,1618.28,2009-12-31 23:14:51+00:00
30.14395,118.16396,1616.31,2009-12-31 23:01:13+00:00
30.14395,118.16396,1616.31,2009-12-31 23:14:43+00:00
30.14397,118.16375,1617.04,2009-12-31 23:01:21+00:00
30.14397,118.16375,1617.04,2009-12-31 23:14:36+00:00
30.14392,118.16339,1620.14,2009-12-31 23:01:33+00:00
30.14392,118.16339,1620.14,2009-12-31 23:14:23+00:00
30.14387,118.16297,1620.42,2009-12-31 23:01:48+00:00
30.14387,118.16297,1620.42,2009-12-31 23:14:09+00:00
30.14373,118.16227,1615.93,2009-12-31 23:02:13+00:00
30.14373,118.16227,1615.93,2009-12-31 23:13:44+00:00
30.14369,118.16204,1612.54,2009-12-31 23:02:21+00:00
30.14369,118.16204,1612.54,2009-12-31 23:13:36+00:00
30.14362,118.16171,1605.94,2009-12-31 23:02:33+00:00
30.14362,118.16171,1605.94,2009-12-31 23:13:24+00:00
30.14353,118.16146,1597.82,2009-12-31 23:02:42+00:00
30.14353,118.16146,1597.82,2009-12-31 23:13:15+00:00
30.14339,118.16136,1592.58,2009-12-31 23:02:49+00:00
30.14339,118.16136,1592.58,2009-12-31 23:13:08+00:00
30.14336,118.16082,1577.15,2009-12-31 23:03:08+00:00
30.14336,118.16082,1577.15,2009-12-31 23:12:49+00:00
30.1432,118.16019,1570.9,2009-12-31 23:03:30+00:00
30.1432,118.16019,1570.9,2009-12-31 23:12:26+00:00
30.14289,118.15991,1570.89,2009-12-31 23:03:46+00:00
30.14289,118.15991,1570.89,2009-12-31 23:12:11+00:00
30.14275,118.15957,1570.39,2009-12-31 23:03:59+00:00
30.14275,118.15957,1570.39,2009-12-31 23:11:58+00:00
30.14255,118.15929,1571.21,2009-12-31 23:04:12+00:00
30.14255,118.15929,1571.21,2009-12-31 23:11:45+00:00
30.14235,118.15894,1574.4,2009-12-31 23:04:26+00:00
30.14235,118.15894,1574.4,2009-12-31 23:11:31+00:00
30.14239,118.15893,1573.8,2009-12-31 23:04:28+00:00
30.14239,118.15893,1573.8,2009-12-31 23:11:29+00:00
30.14249,118.15889,1572.18,2009-12-31 23:04:32+00:00
30.14249,118.15889,1572.18,2009-12-31 23:11:25+00:00
30.14255,118.15882,1576.26,2009-12-31 23:04:35+00:00
30.14255,118.15882,1576.26,2009-12-31 23:11:21+00:00
30.14264,118.1588,1580.59,2009-12-31 23:04:39+00:00
30.14264,118.1588,1580.59,2009-12-31 23:11:18+00:00
30.14267,118.15869,1585.61,2009-12-31 23:04:43+00:00
30.14267,118.15869,1585.61,2009-12-31 23:11:14+00:00
30.14279,118.1586,1593.71,2009-12-31 23:04:49+00:00
30.14279,118.1586,1593.71,2009-12-31 23:11:08+00:00
30.14284,118.15852,1598.07,2009-12-31 23:04:52+00:00
30.14284,118.15852,1598.07,2009-12-31 23:11:05+00:00
30.14288,118.15841,1603.62,2009-12-31 23:04:56+00:00
30.14288,118.15841,1603.62,2009-12-31 23:11:00+00:00
30.14294,118.1583,1609.02,2009-12-31 23:05:01+00:00
30.14294,118.1583,1609.02,2009-12-31 23:10:56+00:00
30.14304,118.15825,1612.24,2009-12-31 23:05:05+00:00
30.14304,118.15825,1612.24,2009-12-31 23:10:52+00:00
30.14313,118.15823,1617.35,2009-12-31 23:05:09+00:00
30.14313,118.15823,1617.35,2009-12-31 23:10:48+00:00
30.14321,118.15827,1622.0,2009-12-31 23:05:12+00:00
30.14321,118.15827,1622.0,2009-12-31 23:10:44+00:00
30.14332,118.15841,1623.43,2009-12-31 23:05:19+00:00
30.14332,118.15841,1623.43,2009-12-31 23:10:38+00:00
30.14343,118.15843,1628.33,2009-12-31 23:05:23+00:00
30.14343,118.15843,1628.33,2009-12-31 23:10:33+00:00
30.14351,118.15845,1631.49,2009-12-31 23:05:27+00:00
30.14351,118.15845,1631.49,2009-12-31 23:10:30+00:00
30.14356,118.15846,1633.56,2009-12-31 23:05:29+00:00
30.14356,118.15846,1633.56,2009-12-31 23:10:28+00:00
30.14364,118.15851,1634.32,2009-12-31 23:05:32+00:00
30.14364,118.15851,1634.32,2009-12-31 23:10:24+00:00
30.14369,118.1586,1631.05,2009-12-31 23:05:36+00:00
30.14369,118.1586,1631.05,2009-12-31 23:10:21+00:00
30.14377,118.15865,1630.1,2009-12-31 23:05:40+00:00
30.14377,118.15865,1630.1,2009-12-31 23:10:17+00:00
30.14387,118.15865,1633.82,2009-12-31 23:05:44+00:00
30.14387,118.15865,1633.82,2009-12-31 23:10:13+00:00
30.14388,118.15853,1642.73,2009-12-31 23:05:48+00:00
30.14388,118.15853,1642.73,2009-12-31 23:10:09+00:00
30.14382,118.15845,1644.58,2009-12-31 23:05:52+00:00
30.14382,118.15845,1644.58,2009-12-31 23:10:05+00:00
30.14378,118.15835,1648.56,2009-12-31 23:05:55+00:00
30.14378,118.15835,1648.56,2009-12-31 23:10:01+00:00
30.14384,118.15814,1656.53,2009-12-31 23:06:03+00:00
30.14384,118.15814,1656.53,2009-12-31 23:09:54+00:00
30.14391,118.15802,1660.37,2009-12-31 23:06:08+00:00
30.14391,118.15802,1660.37,2009-12-31 23:09:49+00:00
30.14391,118.15789,1662.81,2009-12-31 23:06:13+00:00
30.14391,118.15789,1662.81,2009-12-31 23:09:44+00:00
30.14394,118.15779,1664.57,2009-12-31 23:06:16+00:00
30.14394,118.15779,1664.57,2009-12-31 23:09:41+00:00
30.14394,118.15767,1665.66,2009-12-31 23:06:20+00:00
30.14394,118.15767,1665.66,2009-12-31 23:09:36+00:00
30.14393,118.15756,1666.54,2009-12-31 23:06:24+00:00
30.14393,118.15756,1666.54,2009-12-31 23:09:33+00:00
30.1439,118.15744,1667.59,2009-12-31 23:06:28+00:00
30.1439,118.15744,1667.59,2009-12-31 23:09:28+00:00
30.14401,118.15725,1666.95,2009-12-31 23:06:36+00:00
30.14401,118.15725,1666.95,2009-12-31 23:09:20+00:00
30.14394,118.15703,1666.76,2009-12-31 23:06:45+00:00
30.14394,118.15703,1666.76,2009-12-31 23:09:12+00:00
30.14394,118.15691,1665.84,2009-12-31 23:06:49+00:00
30.14394,118.15691,1665.84,2009-12-31 23:09:08+00:00
30.14394,118.15677,1665.61,2009-12-31 23:06:54+00:00
30.14394,118.15677,1665.61,2009-12-31 23:09:03+00:00
30.14396,118.15665,1664.9,2009-12-31 23:06:58+00:00
30.14396,118.15665,1664.9,2009-12-31 23:08:59+00:00
30.14398,118.15656,1663.08,2009-12-31 23:07:01+00:00
30.14398,118.15656,1663.08,2009-12-31 23:08:56+00:00
30.144,118.15649,1661.87,2009-12-31 23:07:04+00:00
30.144,118.15649,1661.87,2009-12-31 23:08:53+00:00
30.14418,118.15639,1661.91,2009-12-31 23:07:12+00:00
30.14418,118.15639,1661.91,2009-12-31 23:08:45+00:00
30.14426,118.15645,1661.47,2009-12-31 23:07:15+00:00
30.14426,118.15645,1661.47,2009-12-31 23:08:41+00:00
30.14435,118.15649,1660.8,2009-12-31 23:07:19+00:00
30.14435,118.15649,1660.8,2009-12-31 23:08:38+00:00
30.14442,118.15641,1660.18,2009-12-31 23:07:23+00:00
30.14442,118.15641,1660.18,2009-12-31 23:08:34+00:00
30.14446,118.15631,1659.79,2009-12-31 23:07:27+00:00
30.14446,118.15631,1659.79,2009-12-31 23:08:30+00:00
30.14447,118.15607,1658.93,2009-12-31 23:07:35+00:00
30.14447,118.15607,1658.93,2009-12-31 23:08:21+00:00
30.14454,118.156,1655.64,2009-12-31 23:07:39+00:00
30.14454,118.156,1655.64,2009-12-31 23:08:18+00:00
30.14464,118.15599,1654.44,2009-12-31 23:07:43+00:00
30.14464,118.15599,1654.44,2009-12-31 23:08:14+00:00
30.14471,118.15604,1654.41,2009-12-31 23:07:46+00:00
30.14471,118.15604,1654.41,2009-12-31 23:08:10+00:00
30.1448,118.15605,1655.02,2009-12-31 23:07:50+00:00
30.1448,118.15605,1655.02,2009-12-31 23:08:07+00:00
30.14484,118.15592,1654.37,2009-12-31 23:07:55+00:00
30.14484,118.15592,1654.37,2009-12-31 23:08:02+00:00
30.14489,118.15583,1654.42,2009-12-31 23:07:58+00:00
30.14484,118.15592,1654.37,2009-12-31 23:07:55+00:00
30.14484,118.15592,1654.37,2009-12-31 23:08:02+00:00
30.1448,118.15605,1655.02,2009-12-31 23:07:50+00:00
30.1448,118.15605,1655.02,2009-12-31 23:08:07+00:00
30.14471,118.15604,1654.41,2009-12-31 23:07:46+00:00
30.14471,118.15604,1654.41,2009-12-31 23:08:10+00:00
30.14464,118.15599,1654.44,2009-12-31 23:07:43+00:00
30.14464,118.15599,1654.44,2009-12-31 23:08:14+00:00
30.14454,118.156,1655.64,2009-12-31 23:07:39+00:00
30.14454,118.156,1655.64,2009-12-31 23:08:18+00:00
30.14447,118.15607,1658.93,2009-12-31 23:07:35+00:00
30.14447,118.15607,1658.93,2009-12-31 23:08:21+00:00
30.14446,118.15631,1659.79,2009-12-31 23:07:27+00:00
30.14446,118.15631,1659.79,2009-12-31 23:08:30+00:00
30.14442,118.15641,1660.18,2009-12-31 23:07:23+00:00
30.14442,118.15641,1660.18,2009-12-31 23:08:34+00:00
30.14435,118.15649,1660.8,2009-12-31 23:07:19+00:00
30.14435,118.15649,1660.8,2009-12-31 23:08:38+00:00
30.14426,118.15645,1661.47,2009-12-31 23:07:15+00:00
30.14426,118.15645,1661.47,2009-12-31 23:08:41+00:00
30.14418,118.15639,1661.91,2009-12-31 23:07:12+00:00
30.14418,118.15639,1661.91,2009-12-31 23:08:45+00:00
30.144,118.15649,1661.87,2009-12-31 23:07:04+00:00
30.144,118.15649,1661.87,2009-12-31 23:08:53+00:00
30.14398,118.15656,1663.08,2009-12-31 23:07:01+00:00
30.14398,118.15656,1663.08,2009-12-31 23:08:56+00:00
30.14396,118.15665,1664.9,2009-12-31 23:06:58+00:00
30.14396,118.15665,1664.9,2009-12-31 23:08:59+00:00
30.14394,118.15677,1665.61,2009-12-31 23:06:54+00:00
30.14394,118.15677,1665.61,2009-12-31 23:09:03+00:00
30.14394,118.15691,1665.84,2009-12-31 23:06:49+00:00
30.14394,118.15691,1665.84,2009-12-31 23:09:08+00:00
30.14394,118.15703,1666.76,2009-12-31 23:06:45+00:00
30.14394,118.15703,1666.76,2009-12-31 23:09:12+00:00
30.14401,118.15725,1666.95,2009-12-31 23:06:36+00:00
30.14401,118.15725,1666.95,2009-12-31 23:09:20+00:00
30.1439,118.15744,1667.59,2009-12-31 23:06:28+00:00
30.1439,118.15744,1667.59,2009-12-31 23:09:28+00:00
30.14393,118.15756,1666.54,2009-12-31 23:06:24+00:00
30.14393,118.15756,1666.54,2009-12-31 23:09:33+00:00
30.14394,118.15767,1665.66,2009-12-31 23:06:20+00:00
30.14394,118.15767,1665.66,2009-12-31 23:09:36+00:00
30.14394,118.15779,1664.57,2009-12-31 23:06:16+00:00
30.14394,118.15779,1664.57,2009-12-31 23:09:41+00:00
30.14391,118.15789,1662.81,2009-12-31 23:06:13+00:00
30.14391,118.15789,1662.81,2009-12-31 23:09:44+00:00
30.14391,118.15802,1660.37,2009-12-31 23:06:08+00:00
30.14391,118.15802,1660.37,2009-12-31 23:09:49+00:00
30.14384,118.15814,1656.53,2009-12-31 23:06:03+00:00
30.14384,118.15814,1656.53,2009-12-31 23:09:54+00:00
30.14378,118.15835,1648.56,2009-12-31 23:05:55+00:00
30.14378,118.15835,1648.56,2009-12-31 23:10:01+00:00
30.14382,118.15845,1644.58,2009-12-31 23:05:52+00:00
30.14382,118.15845,1644.58,2009-12-31 23:10:05+00:00
30.14388,118.15853,1642.73,2009-12-31 23:05:48+00:00
30.14388,118.15853,1642.73,2009-12-31 23:10:09+00:00
30.14387,118.15865,1633.82,2009-12-31 23:05:44+00:00
30.14387,118.15865,1633.82,2009-12-31 23:10:13+00:00
30.14377,118.15865,1630.1,2009-12-31 23:05:40+00:00
30.14377,118.15865,1630.1,2009-12-31 23:10:17+00:00
30.14369,118.1586,1631.05,2009-12-31 23:05:36+00:00
30.14369,118.1586,1631.05,2009-12-31 23:10:21+00:00
30.14364,118.15851,1634.32,2009-12-31 23:05:32+00:00
30.14364,118.15851,1634.32,2009-12-31 23:10:24+00:00
30.14356,118.15846,1633.56,2009-12-31 23:05:29+00:00
30.14356,118.15846,1633.56,2009-12-31 23:10:28+00:00
30.14351,118.15845,1631.49,2009-12-31 23:05:27+00:00
30.14351,118.15845,1631.49,2009-12-31 23:10:30+00:00
30.14343,118.15843,1628.33,2009-12-31 23:05:23+00:00
30.14343,118.15843,1628.33,2009-12-31 23:10:33+00:00
30.14332,118.15841,1623.43,2009-12-31 23:05:19+00:00
30.14332,118.15841,1623.43,2009-12-31 23:10:38+00:00
30.14321,118.15827,1622.0,2009-12-31 23:05:12+00:00
30.14321,118.15827,1622.0,2009-12-31 23:10:44+00:00
30.14313,118.15823,1617.35,2009-12-31 23:05:09+00:00
30.14313,118.15823,1617.35,2009-12-31 23:10:48+00:00
30.14304,118.15825,1612.24,2009-12-31 23:05:05+00:00
30.14304,118.15825,1612.24,2009-12-31 23:10:52+00:00
30.14294,118.1583,1609.02,2009-12-31 23:05:01+00:00
30.14294,118.1583,1609.02,2009-12-31 23:10:56+00:00
30.14288,118.15841,1603.62,2009-12-31 23:04:56+00:00
30.14288,118.15841,1603.62,2009-12-31 23:11:00+00:00
30.14284,118.15852,1598.07,2009-12-31 23:04:52+00:00
30.14284,118.15852,1598.07,2009-12-31 23:11:05+00:00
30.14279,118.1586,1593.71,2009-12-31 23:04:49+00:00
30.14279,118.1586,1593.71,2009-12-31 23:11:08+00:00
30.14267,118.15869,1585.61,2009-12-31 23:04:43+00:00
30.14267,118.15869,1585.61,2009-12-31 23:11:14+00:00
30.14264,118.1588,1580.59,2009-12-31 23:04:39+00:00
30.14264,118.1588,1580.59,2009-12-31 23:11:18+00:00
30.14255,118.15882,1576.26,2009-12-31 23:04:35+00:00
30.14255,118.15882,1576.26,2009-12-31 23:11:21+00:00
30.14249,118.15889,1572.18,2009-12-31 23:04:32+00:00
30.14249,118.15889,1572.18,2009-12-31 23:11:25+00:00
30.14239,118.15893,1573.8,2009-12-31 23:04:28+00:00
30.14239,118.15893,1573.8,2009-12-31 23:11:29+00:00
30.14235,118.15894,1574.4,2009-12-31 23:04:26+00:00
30.14235,118.15894,1574.4,2009-12-31 23:11:31+00:00
30.14255,118.15929,1571.21,2009-12-31 23:04:12+00:00
30.14255,118.15929,1571.21,2009-12-31 23:11:45+00:00
30.14275,118.15957,1570.39,2009-12-31 23:03:59+00:00
30.14275,118.15957,1570.39,2009-12-31 23:11:58+00:00
30.14289,118.15991,1570.89,2009-12-31 23:03:46+00:00
30.14289,118.15991,1570.89,2009-12-31 23:12:11+00:00
30.1432,118.16019,1570.9,2009-12-31 23:03:30+00:00
30.1432,118.16019,1570.9,2009-12-31 23:12:26+00:00
30.14336,118.16082,1577.15,2009-12-31 23:03:08+00:00
30.14336,118.16082,1577.15,2009-12-31 23:12:49+00:00
30.14339,118.16136,1592.58,2009-12-31 23:02:49+00:00
30.14339,118.16136,1592.58,2009-12-31 23:13:08+00:00
30.14353,118.16146,1597.82,2009-12-31 23:02:42+00:00
30.14353,118.16146,1597.82,2009-12-31 23:13:15+00:00
30.14362,118.16171,1605.94,2009-12-31 23:02:33+00:00
30.14362,118.16171,1605.94,2009-12-31 23:13:24+00:00
30.14369,118.16204,1612.54,2009-12-31 23:02:21+00:00
30.14369,118.16204,1612.54,2009-12-31 23:13:36+00:00
30.14373,118.16227,1615.93,2009-12-31 23:02:13+00:00
30.14373,118.16227,1615.93,2009-12-31 23:13:44+00:00
30.14387,118.16297,1620.42,2009-12-31 23:01:48+00:00
30.14387,118.16297,1620.42,2009-12-31 23:14:09+00:00
30.14392,118.16339,1620.14,2009-12-31 23:01:33+00:00
30.14392,118.16339,1620.14,2009-12-31 23:14:23+00:00
30.14397,118.16375,1617.04,2009-12-31 23:01:21+00:00
30.14397,118.16375,1617.04,2009-12-31 23:14:36+00:00
30.14395,118.16396,1616.31,2009-12-31 23:01:13+00:00
30.14395,118.16396,1616.31,2009-12-31 23:14:43+00:00
30.14385,118.16416,1618.28,2009-12-31 23:01:05+00:00
30.14385,118.16416,1618.28,2009-12-31 23:14:51+00:00
30.14386,118.16427,1617.53,2009-12-31 23:01:02+00:00
30.14386,118.16427,1617.53,2009-12-31 23:14:55+00:00
30.1439,118.16443,1615.66,2009-12-31 23:00:56+00:00
30.1439,118.16443,1615.66,2009-12-31 23:15:01+00:00
30.14395,118.16455,1612.15,2009-12-31 23:00:51+00:00
30.14395,118.16455,1612.15,2009-12-31 23:15:05+00:00
30.14401,118.16471,1608.11,2009-12-31 23:00:45+00:00
30.14401,118.16471,1608.11,2009-12-31 23:15:12+00:00
30.1441,118.1648,1604.99,2009-12-31 23:00:40+00:00
30.1441,118.1648,1604.99,2009-12-31 23:15:16+00:00
30.1442,118.16489,1601.81,2009-12-31 23:00:35+00:00
30.1442,118.16489,1601.81,2009-12-31 23:15:21+00:00
30.14423,118.16494,1600.69,2009-12-31 23:00:33+00:00
30.14423,118.16494,1600.69,2009-12-31 23:15:23+00:00
30.14448,118.1651,1593.28,2009-12-31 23:00:22+00:00
30.14448,118.1651,1593.28,2009-12-31 23:15:35+00:00
30.14449,118.16518,1592.28,2009-12-31 23:00:19+00:00
30.14449,118.16518,1592.28,2009-12-31 23:15:38+00:00
30.14449,118.16525,1591.48,2009-12-31 23:00:17+00:00
30.14449,118.16525,1591.48,2009-12-31 23:15:40+00:00
30.14453,118.16529,1591.31,2009-12-31 23:00:15+00:00
30.14453,118.16529,1591.31,2009-12-31 23:15:42+00:00
30.1446,118.16532,1591.56,2009-12-31 23:00:12+00:00
30.1446,118.16532,1591.56,2009-12-31 23:15:45+00:00
30.14464,118.16538,1591.7,2009-12-31 23:00:09+00:00
30.14464,118.16538,1591.7,2009-12-31 23:15:48+00:00
30.14464,118.16551,1591.7,2009-12-31 23:00:04+00:00
30.14464,118.16551,1591.7,2009-12-31 23:15:52+00:00
30.14469,118.16564,1591.65,2009-12-31 23:00:00+00:00
30.14469,118.16564,1591.65,2009-12-31 23:15:57+00:00
