latitude,longitude,elevation,time
30.14362,118.16171,1605.94,2009-12-31 23:00:00+00:00
30.14353,118.16146,1597.82,2009-12-31 23:00:09+00:00
30.14339,118.16136,1592.58,2009-12-31 23:00:15+00:00
30.14336,118.16082,1577.15,2009-12-31 23:00:34+00:00
30.1432,118.16019,1570.9,2009-12-31 23:00:57+00:00
30.14289,118.15991,1570.89,2009-12-31 23:01:13+00:00
30.14275,118.15957,1570.39,2009-12-31 23:01:26+00:00
30.14255,118.15929,1571.21,2009-12-31 23:01:38+00:00
30.14235,118.15894,1574.4,2009-12-31 23:01:53+00:00
30.14225,118.15869,1577.14,2009-12-31 23:02:02+00:00
30.14222,118.15849,1579.7,2009-12-31 23:02:09+00:00
30.14226,118.15822,1586.4,2009-12-31 23:02:19+00:00
30.14226,118.15788,1589.36,2009-12-31 23:02:31+00:00
30.14234,118.15763,1594.9,2009-12-31 23:02:40+00:00
30.1424,118.15727,1593.87,2009-12-31 23:02:53+00:00
30.14245,118.15707,1590.77,2009-12-31 23:03:00+00:00
30.1425,118.15684,1590.75,2009-12-31 23:03:08+00:00
30.14248,118.15665,1591.03,2009-12-31 23:03:15+00:00
30.14243,118.15655,1587.97,2009-12-31 23:03:19+00:00
30.14237,118.1564,1583.97,2009-12-31 23:03:24+00:00
30.14235,118.15628,1582.55,2009-12-31 23:03:29+00:00
30.14238,118.15611,1582.38,2009-12-31 23:03:35+00:00
30.14245,118.15602,1581.93,2009-12-31 23:03:39+00:00
30.1425,118.15603,1583.54,2009-12-31 23:03:41+00:00
30.14259,118.15606,1589.32,2009-12-31 23:03:45+00:00
30.1427,118.15609,1596.19,2009-12-31 23:03:49+00:00
30.14282,118.15605,1602.97,2009-12-31 23:03:54+00:00
30.14285,118.15593,1604.17,2009-12-31 23:03:58+00:00
30.14286,118.15577,1604.12,2009-12-31 23:04:04+00:00
30.14292,118.15556,1609.87,2009-12-31 23:04:12+00:00
30.14288,118.15542,1606.77,2009-12-31 23:04:17+00:00
30.14287,118.1553,1607.06,2009-12-31 23:04:21+00:00
30.14287,118.15507,1607.3,2009-12-31 23:04:29+00:00
30.1429,118.15492,1612.22,2009-12-31 23:04:34+00:00
30.14289,118.15475,1616.44,2009-12-31 23:04:40+00:00
30.14295,118.15455,1622.24,2009-12-31 23:04:47+00:00
30.14295,118.15451,1622.75,2009-12-31 23:04:49+00:00
30.14296,118.15444,1623.91,2009-12-31 23:04:51+00:00
30.14298,118.15437,1624.53,2009-12-31 23:04:54+00:00
30.14297,118.15429,1624.31,2009-12-31 23:04:57+00:00
30.14291,118.15424,1623.51,2009-12-31 23:05:00+00:00
30.14286,118.15422,1623.03,2009-12-31 23:05:02+00:00
30.1428,118.15416,1623.39,2009-12-31 23:05:05+00:00
30.14274,118.15408,1622.37,2009-12-31 23:05:08+00:00
30.14269,118.154,1619.84,2009-12-31 23:05:12+00:00
30.14266,118.15394,1618.41,2009-12-31 23:05:14+00:00
30.1426,118.15393,1612.15,2009-12-31 23:05:17+00:00
30.14253,118.15394,1604.33,2009-12-31 23:05:20+00:00
30.14244,118.15392,1594.48,2009-12-31 23:05:23+00:00
30.14237,118.15389,1586.55,2009-12-31 23:05:26+00:00
30.14236,118.15382,1590.32,2009-12-31 23:05:29+00:00
30.1423,118.15378,1585.22,2009-12-31 23:05:31+00:00
30.1422,118.15372,1575.74,2009-12-31 23:05:36+00:00
30.14213,118.15358,1577.02,2009-12-31 23:05:42+00:00
30.1421,118.15344,1585.56,2009-12-31 23:05:47+00:00
30.14214,118.15329,1600.15,2009-12-31 23:05:52+00:00
30.14214,118.15303,1604.89,2009-12-31 23:06:01+00:00
30.14217,118.15288,1608.62,2009-12-31 23:06:06+00:00
30.1421,118.15281,1596.83,2009-12-31 23:06:10+00:00
30.14201,118.15286,1582.59,2009-12-31 23:06:14+00:00
