latitude,longitude,elevation,time
30.14452,118.16588,1592.2,2009-12-31 23:00:00+00:00
30.14439,118.1658,1593.08,2009-12-31 23:00:05+00:00
30.14444,118.1655,1591.12,2009-12-31 23:00:16+00:00
30.14443,118.1653,1591.46,2009-12-31 23:00:23+00:00
30.14424,118.16509,1599.33,2009-12-31 23:00:33+00:00
30.14423,118.16494,1600.69,2009-12-31 23:00:39+00:00
30.1442,118.16489,1601.81,2009-12-31 23:00:41+00:00
30.1441,118.1648,1604.99,2009-12-31 23:00:46+00:00
30.14401,118.16471,1608.11,2009-12-31 23:00:51+00:00
30.14395,118.16455,1612.15,2009-12-31 23:00:57+00:00
30.1439,118.16443,1615.66,2009-12-31 23:01:01+00:00
30.14386,118.16427,1617.53,2009-12-31 23:01:07+00:00
30.14385,118.16416,1618.28,2009-12-31 23:01:11+00:00
30.14395,118.16396,1616.31,2009-12-31 23:01:19+00:00
30.14397,118.16375,1617.04,2009-12-31 23:01:26+00:00
30.14392,118.16339,1620.14,2009-12-31 23:01:39+00:00
30.14387,118.16297,1620.42,2009-12-31 23:01:53+00:00
30.14373,118.16227,1615.93,2009-12-31 23:02:18+00:00
30.14369,118.16204,1612.54,2009-12-31 23:02:26+00:00
30.14362,118.16171,1605.94,2009-12-31 23:02:38+00:00
30.14353,118.16146,1597.82,2009-12-31 23:02:48+00:00
30.14339,118.16136,1592.58,2009-12-31 23:02:54+00:00
30.14336,118.16082,1577.15,2009-12-31 23:03:13+00:00
30.1432,118.16019,1570.9,2009-12-31 23:03:36+00:00
30.14289,118.15991,1570.89,2009-12-31 23:03:51+00:00
30.14275,118.15957,1570.39,2009-12-31 23:04:04+00:00
30.14255,118.15929,1571.21,2009-12-31 23:04:17+00:00
30.14235,118.15894,1574.4,2009-12-31 23:04:31+00:00
30.14225,118.15869,1577.14,2009-12-31 23:04:41+00:00
30.14222,118.15849,1579.7,2009-12-31 23:04:48+00:00
30.14226,118.15822,1586.4,2009-12-31 23:04:58+00:00
30.14226,118.15788,1589.36,2009-12-31 23:05:09+00:00
30.14234,118.15763,1594.9,2009-12-31 23:05:19+00:00
30.1424,118.15727,1593.87,2009-12-31 23:05:31+00:00
30.1424,118.15727,1593.87,2009-12-31 23:05:51+00:00
30.1424,118.15727,1593.87,2009-12-31 23:13:19+00:00
30.14246,118.1573,1594.88,2009-12-31 23:05:34+00:00
30.14246,118.1573,1594.88,2009-12-31 23:05:49+00:00
30.14244,118.1574,1597.81,2009-12-31 23:05:37+00:00
30.14244,118.1574,1597.81,2009-12-31 23:05:45+00:00
30.14253,118.15744,1601.7,2009-12-31 23:05:41+00:00
30.14244,118.1574,1597.81,2009-12-31 23:05:37+00:00
30.14244,118.1574,1597.81,2009-12-31 23:05:45+00:00
30.14246,118.1573,1594.88,2009-12-31 23:05:34+00:00
30.14246,118.1573,1594.88,2009-12-31 23:05:49+00:00
30.1424,118.15727,1593.87,2009-12-31 23:05:31+00:00
30.1424,118.15727,1593.87,2009-12-31 23:05:51+00:00
30.1424,118.15727,1593.87,2009-12-31 23:13:19+00:00
30.14245,118.15707,1590.77,2009-12-31 23:05:58+00:00
30.14245,118.15707,1590.77,2009-12-31 23:13:12+00:00
30.1425,118.15684,1590.75,2009-12-31 23:06:07+00:00
30.1425,118.15684,1590.75,2009-12-31 23:13:04+00:00
30.14248,118.15665,1591.03,2009-12-31 23:06:13+00:00
30.14248,118.15665,1591.03,2009-12-31 23:12:57+00:00
30.14243,118.15655,1587.97,2009-12-31 23:06:17+00:00
30.14243,118.15655,1587.97,2009-12-31 23:12:53+00:00
30.14237,118.1564,1583.97,2009-12-31 23:06:23+00:00
30.14237,118.1564,1583.97,2009-12-31 23:12:48+00:00
30.14235,118.15628,1582.55,2009-12-31 23:06:27+00:00
30.14235,118.15628,1582.55,2009-12-31 23:12:43+00:00
30.14238,118.15611,1582.38,2009-12-31 23:06:33+00:00
30.14238,118.15611,1582.38,2009-12-31 23:12:37+00:00
30.14245,118.15602,1581.93,2009-12-31 23:06:37+00:00
30.14245,118.15602,1581.93,2009-12-31 23:12:33+00:00
30.1425,118.15603,1583.54,2009-12-31 23:06:39+00:00
30.1425,118.15603,1583.54,2009-12-31 23:12:31+00:00
30.14259,118.15606,1589.32,2009-12-31 23:06:43+00:00
30.14259,118.15606,1589.32,2009-12-31 23:12:27+00:00
30.1427,118.15609,1596.19,2009-12-31 23:06:48+00:00
30.1427,118.15609,1596.19,2009-12-31 23:12:23+00:00
30.14282,118.15605,1602.97,2009-12-31 23:06:53+00:00
30.14282,118.15605,1602.97,2009-12-31 23:12:18+00:00
30.14285,118.15593,1604.17,2009-12-31 23:06:57+00:00
30.14285,118.15593,1604.17,2009-12-31 23:12:14+00:00
30.14286,118.15577,1604.12,2009-12-31 23:07:03+00:00
30.14286,118.15577,1604.12,2009-12-31 23:12:08+00:00
30.14292,118.15556,1609.87,2009-12-31 23:07:10+00:00
30.14292,118.15556,1609.87,2009-12-31 23:12:00+00:00
30.14288,118.15542,1606.77,2009-12-31 23:07:15+00:00
30.14288,118.15542,1606.77,2009-12-31 23:11:55+00:00
30.14287,118.1553,1607.06,2009-12-31 23:07:20+00:00
30.14287,118.1553,1607.06,2009-12-31 23:11:51+00:00
30.14287,118.15507,1607.3,2009-12-31 23:07:28+00:00
30.14287,118.15507,1607.3,2009-12-31 23:11:43+00:00
30.1429,118.15492,1612.22,2009-12-31 23:07:33+00:00
30.1429,118.15492,1612.22,2009-12-31 23:11:38+00:00
30.14289,118.15475,1616.44,2009-12-31 23:07:39+00:00
30.14289,118.15475,1616.44,2009-12-31 23:11:32+00:00
30.14295,118.15455,1622.24,2009-12-31 23:07:46+00:00
30.14295,118.15455,1622.24,2009-12-31 23:11:25+00:00
30.14295,118.15451,1622.75,2009-12-31 23:07:47+00:00
