latitude,longitude,elevation,time
30.14003,118.17048,1672.88,2009-12-31 23:00:00+00:00
30.14003,118.17048,1672.88,2009-12-31 23:06:31+00:00
30.1401,118.17057,1667.23,2009-12-31 23:00:04+00:00
30.1401,118.17057,1667.23,2009-12-31 23:06:27+00:00
30.14021,118.17065,1660.13,2009-12-31 23:00:09+00:00
30.14021,118.17065,1660.13,2009-12-31 23:06:22+00:00
30.14028,118.17068,1656.39,2009-12-31 23:00:12+00:00
30.14028,118.17068,1656.39,2009-12-31 23:06:19+00:00
30.14032,118.17067,1656.33,2009-12-31 23:00:14+00:00
30.14032,118.17067,1656.33,2009-12-31 23:06:17+00:00
30.14039,118.17063,1657.21,2009-12-31 23:00:17+00:00
30.14039,118.17063,1657.21,2009-12-31 23:06:14+00:00
30.14048,118.17056,1659.8,2009-12-31 23:00:21+00:00
30.14048,118.17056,1659.8,2009-12-31 23:06:09+00:00
30.14053,118.1705,1660.69,2009-12-31 23:00:24+00:00
30.14053,118.1705,1660.69,2009-12-31 23:06:07+00:00
30.14058,118.17044,1661.53,2009-12-31 23:00:27+00:00
30.14058,118.17044,1661.53,2009-12-31 23:06:04+00:00
30.14068,118.17042,1663.02,2009-12-31 23:00:31+00:00
30.14068,118.17042,1663.02,2009-12-31 23:06:00+00:00
30.1408,118.17043,1664.31,2009-12-31 23:00:36+00:00
30.1408,118.17043,1664.31,2009-12-31 23:05:55+00:00
30.14084,118.17047,1663.48,2009-12-31 23:00:38+00:00
30.14084,118.17047,1663.48,2009-12-31 23:05:53+00:00
30.14087,118.17055,1659.4,2009-12-31 23:00:41+00:00
30.14087,118.17055,1659.4,2009-12-31 23:05:50+00:00
30.14086,118.17058,1657.78,2009-12-31 23:00:42+00:00
30.14086,118.17058,1657.78,2009-12-31 23:05:49+00:00
30.14089,118.17064,1650.12,2009-12-31 23:00:44+00:00
30.14089,118.17064,1650.12,2009-12-31 23:05:46+00:00
30.14093,118.17067,1644.39,2009-12-31 23:00:46+00:00
30.14093,118.17067,1644.39,2009-12-31 23:05:44+00:00
30.14101,118.17071,1634.74,2009-12-31 23:00:50+00:00
30.14101,118.17071,1634.74,2009-12-31 23:05:41+00:00
30.14105,118.17077,1626.32,2009-12-31 23:00:52+00:00
30.14105,118.17077,1626.32,2009-12-31 23:05:38+00:00
30.14119,118.17089,1612.5,2009-12-31 23:00:59+00:00
30.14119,118.17089,1612.5,2009-12-31 23:05:31+00:00
30.14123,118.17089,1611.14,2009-12-31 23:01:01+00:00
30.14123,118.17089,1611.14,2009-12-31 23:05:30+00:00
30.14126,118.1709,1609.74,2009-12-31 23:01:02+00:00
30.14126,118.1709,1609.74,2009-12-31 23:05:28+00:00
30.14137,118.17077,1613.9,2009-12-31 23:01:08+00:00
30.14137,118.17077,1613.9,2009-12-31 23:05:22+00:00
30.14148,118.17081,1611.77,2009-12-31 23:01:13+00:00
30.14148,118.17081,1611.77,2009-12-31 23:05:17+00:00
30.14152,118.17087,1608.3,2009-12-31 23:01:16+00:00
30.14152,118.17087,1608.3,2009-12-31 23:05:15+00:00
30.14159,118.17085,1610.21,2009-12-31 23:01:19+00:00
30.14159,118.17085,1610.21,2009-12-31 23:05:12+00:00
30.14167,118.17071,1623.52,2009-12-31 23:01:24+00:00
30.14167,118.17071,1623.52,2009-12-31 23:05:06+00:00
30.1417,118.17075,1619.62,2009-12-31 23:01:26+00:00
30.1417,118.17075,1619.62,2009-12-31 23:05:04+00:00
