latitude,longitude,elevation,time
30.1219,118.18791,905.23,2009-12-31 23:00:00+00:00
30.1219,118.18791,905.23,2009-12-31 23:56:41+00:00
30.12195,118.18786,905.34,2009-12-31 23:00:02+00:00
30.122,118.18786,904.7,2009-12-31 23:00:04+00:00
30.12205,118.18783,904.08,2009-12-31 23:00:06+00:00
30.12206,118.18778,903.92,2009-12-31 23:00:08+00:00
30.12209,118.18774,903.51,2009-12-31 23:00:10+00:00
30.1221,118.18768,903.51,2009-12-31 23:00:12+00:00
30.12211,118.18763,903.45,2009-12-31 23:00:14+00:00
30.12211,118.18757,903.62,2009-12-31 23:00:16+00:00
30.12212,118.18752,903.52,2009-12-31 23:00:18+00:00
30.12213,118.18746,903.18,2009-12-31 23:00:20+00:00
30.12215,118.18741,902.5,2009-12-31 23:00:22+00:00
30.12217,118.18736,901.81,2009-12-31 23:00:24+00:00
30.1222,118.18731,900.88,2009-12-31 23:00:26+00:00
30.12222,118.18726,900.19,2009-12-31 23:00:28+00:00
30.12225,118.18721,900.35,2009-12-31 23:00:30+00:00
30.12227,118.18716,900.78,2009-12-31 23:00:32+00:00
30.12229,118.18711,901.23,2009-12-31 23:00:34+00:00
30.12232,118.18707,901.8,2009-12-31 23:00:35+00:00
30.12235,118.18702,902.44,2009-12-31 23:00:38+00:00
30.12238,118.18698,903.07,2009-12-31 23:00:39+00:00
30.12241,118.18693,904.38,2009-12-31 23:00:42+00:00
30.12244,118.1869,906.38,2009-12-31 23:00:43+00:00
30.12247,118.18685,909.68,2009-12-31 23:00:45+00:00
30.12249,118.18681,912.44,2009-12-31 23:00:47+00:00
30.12249,118.18681,912.44,2009-12-31 23:55:54+00:00
30.12252,118.18676,916.59,2009-12-31 23:00:49+00:00
30.12254,118.1867,920.32,2009-12-31 23:00:51+00:00
30.12257,118.18665,922.89,2009-12-31 23:00:53+00:00
30.12258,118.1866,924.24,2009-12-31 23:00:55+00:00
30.1226,118.18655,925.83,2009-12-31 23:00:57+00:00
30.12262,118.1865,927.45,2009-12-31 23:00:59+00:00
30.12264,118.18645,929.1,2009-12-31 23:01:01+00:00
30.12268,118.1864,931.27,2009-12-31 23:01:03+00:00
30.1227,118.18634,933.55,2009-12-31 23:01:05+00:00
30.12273,118.18627,936.37,2009-12-31 23:01:08+00:00
30.12276,118.18623,938.2,2009-12-31 23:01:10+00:00
30.12279,118.18619,940.23,2009-12-31 23:01:12+00:00
30.12281,118.18613,942.66,2009-12-31 23:01:14+00:00
30.12284,118.18609,944.69,2009-12-31 23:01:16+00:00
30.12287,118.18605,946.42,2009-12-31 23:01:18+00:00
30.1229,118.186,948.02,2009-12-31 23:01:20+00:00
30.12292,118.18595,949.09,2009-12-31 23:01:22+00:00
30.12294,118.1859,949.93,2009-12-31 23:01:24+00:00
30.12295,118.18585,950.47,2009-12-31 23:01:25+00:00
30.12297,118.18579,951.68,2009-12-31 23:01:28+00:00
30.12298,118.18574,952.84,2009-12-31 23:01:29+00:00
30.12299,118.18569,953.98,2009-12-31 23:01:31+00:00
30.12302,118.18565,954.92,2009-12-31 23:01:33+00:00
30.12303,118.1856,956.03,2009-12-31 23:01:35+00:00
30.12305,118.18554,957.23,2009-12-31 23:01:37+00:00
30.12309,118.1855,958.2,2009-12-31 23:01:39+00:00
30.12312,118.18546,958.82,2009-12-31 23:01:41+00:00
30.12316,118.18544,959.14,2009-12-31 23:01:43+00:00
30.1232,118.1854,959.22,2009-12-31 23:01:45+00:00
30.12324,118.18537,959.0,2009-12-31 23:01:47+00:00
30.12329,118.18535,958.56,2009-12-31 23:01:49+00:00
30.12333,118.18532,957.79,2009-12-31 23:01:51+00:00
30.12338,118.18529,958.39,2009-12-31 23:01:53+00:00
30.12342,118.18527,959.26,2009-12-31 23:01:55+00:00
